"game_title","game_platform","publisher_title"
"3rd Super Robot Wars Z Jigoku Hen","PS3","Namco Bandai Games"
"3rd Super Robot Wars Z Jigoku Hen","PSV","Namco Bandai Games"
"3rd Super Robot Wars Z: Tengoku-Hen","PS3","Namco Bandai Games"
"3rd Super Robot Wars Z: Tengoku-Hen","PSV","Namco Bandai Games"
"3Xtreme","PS","989 Studios"
"4 Elements","PC","Mastertronic"
"4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship","DS","Atari"
"4 Nin uchi Mahjong","NES","Nintendo"
"4 Play Collection - Dark Mysteries","PC","Avanquest Software"
"40 Winks","PS","GT Interactive"
"428: Fuusa Sareta Shibuya de","PS3","Spike"
"428: Fuusa Sareta Shibuya de","PSP","Spike"
"428: Fuusa Sareta Shibuya de","Wii","Sega"
"4x4 EVO 2","GC","Vivendi Games"
"4x4 EVO 2","XB","Gathering of Developers"
"4x4 Evolution","PS2","Gathering of Developers"
"50 Cent: Blood on the Sand","PS3","THQ"
"50 Cent: Blood on the Sand","X360","THQ"
"50 Cent: Bulletproof","PS2","Vivendi Games"
"50 Cent: Bulletproof","PSP","Vivendi Games"
"50 Cent: Bulletproof","XB","Vivendi Games"
"50 Classic Games","3DS","Avanquest Software"
"50 Classic Games","DS","Destineer"
"64 de Hakken! Tamagotchi Minna de Tamagotchi World","N64","Namco Bandai Games"
"7'scarlet","PSV","Idea Factory"
"7 Days to Die","PS4","Telltale Games"
"7 Days to Die","XOne","Telltale Games"
"7 Roses: A Darkness Rises","PC","Avanquest Software"
"7 Wonders II","DS","Rondomedia"
"7 Wonders of the Ancient World","DS","Funsta"
"7 Wonders of the Ancient World","PSP","Mumbo Jumbo"
"7 Wonders: Treasures of Seven","DS","Avanquest"
"7th Dragon","DS","Sega"
"7th Dragon 2020","PSP","Sega"
"7th Dragon 2020-II","PSP","Sega"
"7th Dragon III Code: VFD","3DS","Sega"
"99 no Namida","DS","Namco Bandai Games"
"999: Nine Hours Nine Persons Nine Doors","DS","ChunSoft"
"A-Train","PS","Sony Computer Entertainment"
"A-Train 6","PS2","Midas Interactive Entertainment"
"A-Train: City Simulator","3DS","ArtDink"
"A Boy and His Blob","Wii","Majesco Entertainment"
"A Bug's Life","N64","Activision"
"A Bug's Life","PS","Sony Computer Entertainment"
"A Collection of Activision Classic Games for the Atari 2600","PS","Activision"
"A Collection of Classic Games from the Intellivision","PS","Activision"
"A Game of Thrones: Genesis","PC","Focus Home Interactive"
"A Good Librarian Like a Good Shepherd: Library Party","PSV","Kaga Create"
"A llI S.V.: A Ressha de Gyoukou 3 Super Version","SNES","Pack-In-Video"
"A New Beginning","PC","Deep Silver"
"A Ressha de Gyoukou 2001","PS2","ArtDink"
"A Ressha de Ikou DS","DS","ArtDink"
"A Vampyre Story","PC","Crimson Cow"
"A Witch's Tale","DS","Nippon Ichi Software"
"A. IV Evolution: A Ressha de Ikou 4","PS","ArtDink"
"A.C.E.: Another Century's Episode","PS2","Banpresto"
"A.C.E.: Another Century's Episode 2","PS2","Banpresto"
"A.C.E.: Another Century's Episode 3: The Final","PS2","Banpresto"
"A.C.E.: Another Century's Episode Portable","PSP","Namco Bandai Games"
"A.C.E.: Another Century's Episode R","PS3","Namco Bandai Games"
"Â¡Shin Chan Flipa en colores!","DS","505 Games"
"Aa Megami-samaa","PS2","Marvelous Interactive"
"ABBA: You Can Dance","Wii","Ubisoft"
"Abunai: Koi no Sousa Shitsu","PSP","Quinrose"
