"critic_score","user_score","critic_count","user_count","score_id"
0,0,0,0,825
92,8.8,41,120,826
72,7.1,42,78,827
75,8.8,26,41,828
0,0,0,0,829
0,5.5,0,29,830
59,5.9,40,71,831
0,0,0,0,832
0,0,0,0,833
72,9,38,34,834
82,8.2,41,68,835
73,6,26,43,836
78,8.9,26,53,837
86,8.2,56,63,838
0,0,0,0,839
0,0,0,0,840
48,3.3,11,4,841
86,7.7,19,41,842
89,8.1,65,307,843
73,7.7,24,29,844
62,8.1,34,97,845
89,8.7,54,1397,846
70,7.7,34,17,847
81,6.6,5,480,848
92,9.1,72,1130,849
64,6.4,48,182,850
0,8.4,0,5,851
89,7.4,43,1984,852
0,0,0,0,853
88,8.8,67,545,854
76,7.1,44,107,855
71,5.7,19,9,856
87,8.8,14,45,857
0,0,0,0,858
76,7.9,11,14,859
75,7.8,53,162,860
80,7.6,46,82,861
0,0,0,0,862
0,8.5,0,33,863
80,6.2,53,667,864
56,4.1,20,95,865
68,6.6,40,167,866
0,0,0,0,867
81,8.7,57,34,868
0,0,0,0,869
0,0,0,0,870
0,0,0,0,871
85,8.4,83,431,872
88,8.3,69,225,873
69,7.7,24,59,874
67,5,71,1407,875
93,8.6,58,118,876
0,0,0,0,877
90,8.8,31,70,878
80,8.9,33,41,879
71,8.1,29,41,880
87,7.7,55,455,881
0,0,0,0,882
0,0,0,0,883
0,7.4,0,10,884
78,6.4,39,55,885
87,8,51,106,886
77,8.9,32,137,887
83,7.6,19,78,888
0,0,0,0,889
63,8.3,18,22,890
93,8.5,33,1647,891
79,8.5,48,69,892
0,0,0,0,893
0,0,0,0,894
72,7.5,61,87,895
86,6,81,1079,896
0,0,0,0,897
0,0,0,0,898
0,4.7,0,504,899
88,8,25,69,900
80,8.6,22,31,901
57,6.3,47,117,902
80,9.2,18,46,903
92,7.4,15,48,904
84,7.5,43,80,905
83,6.5,75,134,906
0,0,0,0,907
86,6.4,43,557,908
79,7.1,78,506,909
90,8.6,45,80,910
0,0,0,0,911
69,7.8,31,58,912
0,0,0,0,913
70,7.8,11,17,914
85,4.4,38,132,915
74,7.5,46,685,916
29,4.6,7,7,917
0,0,0,0,918
81,8.5,43,90,919
0,0,0,0,920
0,0,0,0,921
88,6.7,47,162,922
49,6.6,15,13,923
0,0,0,0,924
