"game_title","game_platform","score_id"
"Amatsumi Sora ni! Kumo no Hatate ni","PSV",15573
"Amazing Adventures: The Forgotten Ruins","DS",6908
"Amazing Island","GC",12849
"America's Army: Rise of a Soldier","XB",6718
"America's Army: True Soldiers","X360",11294
"America's Next Top Model","DS",10534
"America's Next Top Model","Wii",11837
"America's Test Kitchen: Let's Get Cooking","DS",6437
"America Oudan Ultra-Quiz","SAT",15010
"American Bass Challenge","GBA",13299
"American Chopper","PS2",4587
"American Chopper","XB",8750
"American Chopper 2: Full Throttle","GC",13300
"American Chopper 2: Full Throttle","PS2",8125
"American Chopper 2: Full Throttle","XB",13316
"American Girl: Julie Finds a Way","DS",10436
"American Girl: Kit Mystery Challenge!","DS",4293
"American Idol","GBA",7281
"American Idol","PS2",3672
"AMF Bowling 2004","XB",5930
"AMF Bowling Pinbusters!","DS",12060
"AMF Bowling Pinbusters!","Wii",2285
"AMF Bowling World Lanes","Wii",5273
"AMF Xtreme Bowling","PS2",15074
"Amnesia","PSP",13687
"Amnesia Crowd","PSP",13317
"Amnesia Later","PSP",13405
"Amnesia Later","PSV",16566
"AMNESIA World","PSV",14870
"Amped 2","XB",6623
"Amped 3","X360",8665
"Amped: Freestyle Snowboarding","XB",2515
"Amplitude","PS2",8028
"An American Tail: Fievel's Gold Rush","GBA",14252
"Anarchy Reigns","PS3",7513
"Anarchy Reigns","X360",8367
"And1 Streetball","PS2",6413
"And1 Streetball","XB",11809
"Andretti Racing","PS",2644
"Angel Blade: Neo Tokyo Guardians","PS",7421
"Angelique Duet","PS",13538
"Angelique Retour","PSV",15507
"Angelique Trois","PS2",12799
"Angelique: Maren no Rokukishi","PSP",14971
"Angler's Club: Ultimate Bass Fishing 3D","3DS",14312
"Angry Birds","PC",6929
"Angry Birds Star Wars","3DS",5432
"Angry Birds Star Wars","PS3",6049
"Angry Birds Star Wars","PS4",7298
"Angry Birds Star Wars","PSV",11341
"Angry Birds Star Wars","Wii",6445
"Angry Birds Star Wars","WiiU",10757
"Angry Birds Star Wars","X360",6219
"Angry Birds Star Wars","XOne",8609
"Angry Birds Trilogy","3DS",3206
"Angry Birds Trilogy","PS3",8521
"Angry Birds Trilogy","X360",6485
"Angry Birds: Rio","PC",10914
"Anima - Gate of Memories","PS4",15178
"Animal Crossing","GC",436
"Animal Crossing: Amiibo Festival","WiiU",4654
"Animal Crossing: City Folk","Wii",231
"Animal Crossing: Happy Home Designer","3DS",458
"Animal Crossing: New Leaf","3DS",74
"Animal Crossing: Wild World","DS",44
"Animal Genius","DS",10049
"Animal Kingdom: Wildlife Expedition","Wii",11796
"Animal Paradise","DS",6662
"Animal Planet: Emergency Vets","DS",11285
"Animal Planet: Vet Collection","DS",13004
"Animal Planet: Vet Life","DS",10278
"Animal Planet: Vet Life","Wii",11010
"Animaniacs Ten Pin Alley","PS",3084
"Animaniacs: The Great Edgar Hunt","GC",14756
"AniMates!","DS",14898
"Animorphs: Shattered Reality","PS",12727
"Anno 1701: Dawn of Discovery","DS",9439
"Anno 2070","PC",1345
"Anno 2205","PC",6658
"Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai","PSP",15041
"Another Code R: A Journey into Lost Memories","Wii",12565
"Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!","3DS",12422
"Ant Nation","DS",12093
"Antiphona no Seikahime: Tenshi no Gakufu Op.A","PSP",15776
"Antz Extreme Racing","PS2",13824
"Antz Extreme Racing","XB",15992
"Anubis II","Wii",12133
"Ao no Exorcist: Genkoku no Labyrinth","PSP",13977
"Ao no Kanata no Four Rhythm","PSV",14508
"Aoishiro","PS2",15575
"Apache: Air Assault","PS3",7637
"Apache: Air Assault","X360",8518
"Apassionata: Die Galanacht der Pferde","DS",13402
"APB Reloaded","PC",14014
"Ape Escape","PS",1133
"Ape Escape","PS3",13828
"Ape Escape 2","PS2",3200
"Ape Escape 3","PS2",9499
"Ape Escape Academy","PSP",5456
"Ape Escape Academy (jp sales)","PSP",9251
"Ape Escape: On the Loose","PSP",2926
"Ape Escape: Pumped & Primed","PS2",11618
"Apex","XB",9279
"Apocalypse","PS",4317
"Apollo Justice: Ace Attorney","DS",2090
"Aqua Aqua","PS2",10332
"Aqua Panic!","DS",15742
"Aqua Teen Hunger Force: Zombie Ninja Pro-Am","PS2",11941
"Aquaman: Battle for Atlantis","GC",16357
"Aquaman: Battle for Atlantis","XB",16160
"Aquanaut's Holiday","PS",15405
"Aquanaut's Holiday: Kakusareta Kiroku","PS3",13998
"Aquapazza: Aquaplus Dream Match","PS3",10392
"Aquarium by DS","DS",12712
"Ar Nosurge: Ode to an Unborn Star","PS3",8647
"Ar Nosurge: Ode to an Unborn Star","PSV",13987
"Ar tonelico 2: Melody of Metafalica","PS2",8017
"Ar tonelico Qoga: Knell of Ar Ciel","PS3",6936
"Ar tonelico: Melody of Elemia","PS2",10800
"Arabians Lost: The Engagement on Desert","PS2",15684
"Arabians Lost: The Engagement on Desert","PSP",16467
"Arc Rise Fantasia","Wii",7829
"Arc the Lad","PS",1845
"Arc the Lad II","PS",1971
"Arc the Lad III","PS",4594
"Arc the Lad: End of Darkness","PS2",12373
"Arc the Lad: Twilight of the Spirits","PS2",5227
"Arcade Hits: Frisky Tom","PS",6129
"Arcade Party Pak","PS",10300
"Arcade Shooting Gallery","Wii",7868
"Arcade Zone","Wii",8780
"Arcana Famiglia 2","PSP",15954
"Arcana Famiglia: La storia della Aracana Famiglia","PSP",13433
"Arcana Famiglia: Vascello Phantasma no Majutsushi","PSP",15498
"Arcana Heart","PS2",8674
"Arcana Heart 3","PS3",7702
"Arcana Heart 3","PSV",13685
"Arcana Heart 3","X360",13139
"Arcania: Gothic 4","PC",7964
"Arcania: Gothic 4","PS4",12988
"Arcania: Gothic 4","X360",10906
"Archer Maclean's 3D Pool","GBA",11896
"Archer Maclean's Mercury","PSP",3608
"Archer Maclean Presents: Pool Paradise","GC",14880
"Archer Maclean Presents: Pool Paradise","PS2",12646
"Arctic Tale","DS",9128
"Arctic Tale","Wii",13779
"Arctic Thunder","PS2",5239
"Arctic Thunder","XB",9966
"Are You Alice?","PSP",15110
"Are You Smarter Than A 5th Grader?","DS",3797
"Are You Smarter Than a 5th Grader? Back to School","DS",11310
"Are You Smarter Than a 5th Grader? Back to School","Wii",7778
"Are You Smarter than a 5th Grader? Game Time","DS",6946
"Are You Smarter than a 5th Grader? Game Time","Wii",6411
"Are You Smarter than a 5th Grader? Game Time","X360",9692
"Are You Smarter than a 5th Grader? Make the Grade","DS",4896
"Are You Smarter than a 5th Grader? Make the Grade","Wii",3690
"Area 51","PS",2829
"Area 51","PS2",4301
"Area 51","XB",5989
"Arena Football","PS2",3559
"Arena Football","XB",8940
"Aria: The Natural ~Tooi Yume no Mirage~","PS2",15424
"Aria: The Origination ~Aoi Wakusei no El Cielo~","PS2",15133
"Arkanoid DS","DS",12530
"ArmA II","PC",9133
"ArmA III","PC",10351
"Armed and Dangerous","XB",9642
"Armor Ambush","2600",8460
"Armored Core","PS",4714
"Armored Core 2","PS2",2597
"Armored Core 2: Another Age","PS2",4721
"Armored Core 3","PS2",3008
"Armored Core 3 Portable","PSP",11556
"Armored Core 4","PS3",7705
"Armored Core 4","X360",6728
"Armored Core SL: Silent Line Portable","PSP",14546
"Armored Core V","PS3",4878
"Armored Core V","X360",7318
"Armored Core: For Answer","PS3",7885
"Armored Core: For Answer","X360",8907
"Armored Core: Formula Front Extreme Battle","PSP",13089
"Armored Core: Last Raven","PS2",8155
"Armored Core: Last Raven Portable","PSP",14617
"Armored Core: Master of Arena","PS",6555
"Armored Core: Nexus","PS2",6507
"Armored Core: Nine Breaker","PS2",12228
"Armored Core: Project Phantasma","PS",6240
"Armored Core: Silent Line","PS2",5742
"Armored Core: Verdict Day","PS3",9970
"Armorines: Project S.W.A.R.M.","N64",6502
"Armorines: Project S.W.A.R.M.","PS",11343
"Army Corps of Hell","PSV",10968
"Army Men 3D","PS",1541
"Army Men World War: Final Front","PS",4426
"Army Men World War: Land Sea Air","PS",5834
"Army Men World War: Team Assault","PS",10650
"Army Men: Air Attack","PS",2428
"Army Men: Air Attack 2","PS",5889
"Army Men: Air Combat","N64",6848
"Army Men: Air Combat - The Elite Missions","GC",16413
"Army Men: Green Rogue","PS",12224
"Army Men: Green Rogue","PS2",9388
"Army Men: Major Malfunction","XB",15874
"Army Men: RTS","GC",12155
"Army Men: RTS","PS2",10155
"Army Men: Sarge's Heroes","N64",2541
"Army Men: Sarge's Heroes","PS",3574
"Army Men: Sarge's Heroes 2","N64",4605
"Army Men: Sarge's Heroes 2","PS",6787
"Army Men: Sarge's Heroes 2","PS2",8209
"Army Men: Sarge's War","GC",8773
"Army Men: Sarge's War","XB",10038
"Army Men: Soldiers of Misfortune","DS",10225
"Army Men: Soldiers of Misfortune","Wii",9520
"Army of Two","PS3",1737
"Army of Two","X360",1119
"Army of Two: The 40th Day","PS3",2451
"Army of Two: The 40th Day","PSP",5628
"Army of Two: The 40th Day","X360",2178
"Army of Two: The Devil's Cartel","PS3",6241
"Army of Two: The Devil's Cartel","X360",6551
"Army Rescue","Wii",15569
"Around the World in 80 Days","DS",8644
"Around the World in 80 Days","GBA",13236
"Arslan: The Warriors of Legend","PS3",13375
"Arslan: The Warriors of Legend","PS4",11104
"Arslan: The Warriors of Legend","XOne",15489
"Art Academy","DS",612
"Art Academy: Home Studio","WiiU",16515
"Art Academy: Lessons for Everyone","3DS",4207
"Art of Fighting 3: The Path of the Warrior","NG",13970
"Art of Fighting Anthology","PS2",13501
"Arthur and the Invisibles","DS",14366
"Arthur! Ready to Race","PS",13109
"Arx Fatalis","XB",13165
"ASH: Archaic Sealed Heat","DS",9980
"Ashes Cricket 2009","PS3",8373
"Ashes Cricket 2009","Wii",7016
"Ashes Cricket 2009","X360",7632
"Asphalt 3D","3DS",4057
"Asphalt: Injection","PSV",7236
"Asphalt: Urban GT","DS",3415
"Asphalt: Urban GT 2","DS",9189
"Assassin's Creed","PC",2277
"Assassin's Creed","PS3",220
"Assassin's Creed","X360",161
"Assassin's Creed Chronicles","PS4",11245
"Assassin's Creed Chronicles","PSV",12158
"Assassin's Creed Chronicles","XOne",16549
"Assassin's Creed Chronicles: China","PS4",14003
"Assassin's Creed II","PC",3658
"Assassin's Creed II","PS3",160
